title,console,genre,publisher,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_year,decade,na_pct,jp_pct,pal_pct,other_pct,sales_tier,,,
Grand Theft Auto V,PS3,Action,Rockstar Games,9.4,20.32,6.37,0.99,9.85,3.12,2013,2010,31.3,4.9,48.5,15.4,Blockbuster (5M+),,,
Grand Theft Auto V,PS4,Action,Rockstar Games,9.7,19.39,6.06,0.6,9.71,3.02,2014,2010,31.3,3.1,50.1,15.6,Blockbuster (5M+),,,
Grand Theft Auto: Vice City,PS2,Action,Rockstar Games,9.6,16.15,8.41,0.47,5.49,1.78,2002,2000,52.1,2.9,34,11,Blockbuster (5M+),,,
Grand Theft Auto V,X360,Action,Rockstar Games,7.3,15.86,9.06,0.06,5.33,1.42,2013,2010,57.1,0.4,33.6,9,Blockbuster (5M+),,,
Call of Duty: Black Ops 3,PS4,Shooter,Activision,8.1,15.09,6.18,0.41,6.05,2.44,2015,2010,41,2.7,40.1,16.2,Blockbuster (5M+),,,
Call of Duty: Modern Warfare 3,X360,Shooter,Activision,8.7,14.82,9.07,0.13,4.29,1.33,2011,2010,61.2,0.9,28.9,9,Blockbuster (5M+),,,
Call of Duty: Black Ops,X360,Shooter,Activision,8.8,14.74,9.76,0.11,3.73,1.14,2010,2010,66.2,0.7,25.3,7.7,Blockbuster (5M+),,,
Red Dead Redemption 2,PS4,Action-Adventure,Rockstar Games,9.8,13.94,5.26,0.21,6.21,2.26,2018,2010,37.7,1.5,44.5,16.2,Blockbuster (5M+),,,
Call of Duty: Black Ops II,X360,Shooter,Activision,8.4,13.86,8.27,0.07,4.32,1.2,2012,2010,59.7,0.5,31.2,8.7,Blockbuster (5M+),,,
Call of Duty: Black Ops II,PS3,Shooter,Activision,8,13.8,4.99,0.65,5.88,2.28,2012,2010,36.2,4.7,42.6,16.5,Blockbuster (5M+),,,
Call of Duty: Modern Warfare 2,X360,Shooter,Activision,9.5,13.53,8.54,0.08,3.63,1.28,2009,2000,63.1,0.6,26.8,9.5,Blockbuster (5M+),,,
Call of Duty: WWII,PS4,Shooter,Activision,8.1,13.4,4.67,0.4,6.21,2.12,2017,2010,34.9,3,46.3,15.8,Blockbuster (5M+),,,
Call of Duty: Modern Warfare 3,PS3,Shooter,Activision,8.8,13.35,5.54,0.49,5.78,1.54,2011,2010,41.5,3.7,43.3,11.5,Blockbuster (5M+),,,
Grand Theft Auto III,PS2,Action,Rockstar Games,9.5,13.1,6.99,0.3,4.51,1.3,2001,2000,53.4,2.3,34.4,9.9,Blockbuster (5M+),,,
Call of Duty: Black Ops,PS3,Shooter,Activision,8.7,12.67,6.01,0.48,4.4,1.78,2010,2010,47.4,3.8,34.7,14,Blockbuster (5M+),,,
FIFA 18,PS4,Sports,EA Sports,8.3,11.8,1.27,0.15,8.64,1.73,2017,2010,10.8,1.3,73.2,14.7,Blockbuster (5M+),,,
Grand Theft Auto IV,X360,Action,Rockstar Games,10,11.09,6.8,0.14,3.11,1.04,2008,2000,61.3,1.3,28,9.4,Blockbuster (5M+),,,
FIFA 17,PS4,Sports,Electronic Arts,8.9,10.94,1.26,0.12,7.95,1.61,2016,2010,11.5,1.1,72.7,14.7,Blockbuster (5M+),,,
Call of Duty: Modern Warfare 2,PS3,Shooter,Activision,9.5,10.61,4.99,0.38,3.66,1.59,2009,2000,47,3.6,34.5,15,Blockbuster (5M+),,,
Grand Theft Auto IV,PS3,Action,Rockstar Games,10,10.57,4.79,0.44,3.73,1.62,2008,2000,45.3,4.2,35.3,15.3,Blockbuster (5M+),,,
Call of Duty: Ghosts,X360,Shooter,Activision,6.9,10.41,6.76,0.04,2.64,0.98,2013,2010,64.9,0.4,25.4,9.4,Blockbuster (5M+),,,
Call of Duty: Ghosts,PS3,Shooter,Activision,7.5,10.13,4.11,0.39,4.01,1.62,2013,2010,40.6,3.8,39.6,16,Blockbuster (5M+),,,
Halo: Reach,X360,Shooter,Microsoft Game Studios,9.3,9.97,7.08,0.08,2.01,0.8,2010,2010,71,0.8,20.2,8,Blockbuster (5M+),,,
Halo 4,X360,Shooter,Microsoft Studios,7.3,9.96,6.72,0.04,2.36,0.83,2012,2010,67.5,0.4,23.7,8.3,Blockbuster (5M+),,,
Call of Duty 4: Modern Warfare,X360,Shooter,Activision,9.6,9.41,5.98,0.13,2.39,0.91,2007,2000,63.5,1.4,25.4,9.7,Blockbuster (5M+),,,
Call of Duty: Black Ops IIII,PS4,Shooter,Activision,7.3,9.32,4.05,0.5,3.28,1.49,2018,2010,43.5,5.4,35.2,16,Blockbuster (5M+),,,
FIFA 19,PS4,Sports,Electronic Arts,7.3,9.15,0.84,0.1,6.87,1.34,2018,2010,9.2,1.1,75.1,14.6,Blockbuster (5M+),,,
The Elder Scrolls V: Skyrim,X360,Role-Playing,Bethesda Softworks,9.3,8.88,5.1,0.1,2.83,0.85,2011,2010,57.4,1.1,31.9,9.6,Blockbuster (5M+),,,
Grand Theft Auto V,XOne,Action,Rockstar Games,9,8.72,4.7,0.01,3.25,0.76,2014,2010,53.9,0.1,37.3,8.7,Blockbuster (5M+),,,
Call of Duty: Infinite Warfare,PS4,Shooter,Activision,7.9,8.48,3.11,0.19,3.83,1.36,2016,2010,36.7,2.2,45.2,16,Blockbuster (5M+),,,
Fallout 4,PS4,Role-Playing,Bethesda Softworks,8.6,8.48,2.91,0.27,3.97,1.34,2015,2010,34.3,3.2,46.8,15.8,Blockbuster (5M+),,,
